search_string,customer_id,company_name,account_type,status,msp_id,email,created_by,phone_number,region,organization_id,activate_customer_id,multi_fa_enabled,created_at,updated_at,address_street,address_city,address_state,address_zip,address_country
7fab5f787ab711ecb8703e7cfd568923,7fab5f787ab711ecb8703e7cfd568923,Wentzo – Aruba Central,MSP,ACTIVE,MSP,support@wifi.nl,arubacentral@wentzo.com,+31-0577460008,eu-central,d9326785-3b13-41dd-9b45-f94465665fcd,,True,2018-12-10T13:35:55,2026-03-30T20:43:53.197994,Hooiweg 23,Garderen,Gelderland,3886PM,NL
e6a2574c849c11ec8dcf924ebb952c5e,e6a2574c849c11ec8dcf924ebb952c5e,Danfoss A/S,STANDALONE,ACTIVE,STANDALONE,,svc-centraltac@arubanetworks.com,+45 74882222,US,2e6a707f-613d-49d3-a1f7-1a653612a96f,,,2022-02-03T02:56:36.080942,2026-04-01T08:36:29.058687,Nordborgvej 81,Nordborg,Sonderjylland,6430,DK
8bd57e3c7ab711ecb882e24f515411d3,8bd57e3c7ab711ecb882e24f515411d3,STICHTING LEGER DES HEILS,STANDALONE,ACTIVE,STANDALONE,netwerkbeheer@s4ict.nl,hpe-activate-migration-tac@hpe.com,+31-880652000,eu-central,eb9eca29-98df-4946-afaa-2192a92eea4f,,,2019-09-18T06:05:37,2026-03-30T23:53:51.711994,Spoordreef 10,Almere,Flevoland,1315 GN,NL
8c96dad27ab711ec9250ba50c21c58e9,8c96dad27ab711ec9250ba50c21c58e9,NorgesGruppen Data AS,STANDALONE,ACTIVE,STANDALONE,atle.nordhaug@norgesgruppen.no,roger.kristiansen@norgesgruppen.no,+47-90509556,eu-central,121d19de-c397-4487-b127-f91ab137c015,,True,2018-06-05T10:28:16,2026-03-30T18:59:16.331076,Bedriftsveien 9,Oslo,Oslo,1470,NO
d1c525c47ab611ec9e04e24f515411d3,d1c525c47ab611ec9e04e24f515411d3,GlobalConnect AB,MSP,ACTIVE,MSP,,petmat@globalconnect.no,,eu-central,705aab71-6e59-4173-bdae-fc8fbeea616f,,False,2018-09-12T12:47:55,2026-03-30T19:45:29.423198,Solnavägen 2H,Stockholm,Solna,11365,SE
e85e9ef87ab811ec9fa536dc373dc7bb,e85e9ef87ab811ec9fa536dc373dc7bb,Nordlo Group AB,MSP,ACTIVE,MSP,fredrik.eriksson@nordlo.com,hpe-activate-migration-tac@hpe.com,+46-0766430494,eu-central,b97d3e6d-283c-4274-b445-4098f94e7db7,,True,2019-09-09T06:20:14,2026-03-30T23:47:44.939046,Katrinedalsgatan 22,Borås,Vastra Gotalands,50451,SE
6bb2d0c0849c11ecabd5924ebb952c5e,6bb2d0c0849c11ecabd5924ebb952c5e,Saint-Gobain SAML 07E4564C,MSP,ACTIVE,MSP,,svc-centraltac@arubanetworks.com,+33-643089645,US,64de4d41-fdc9-4601-8e5b-ae8b0eff1342,,False,2022-02-03T02:53:09.829110,2026-04-07T08:29:40.477129,"Tour Saint-Gobain, 12 Place de l’Iris,",COURBEVOIE,Ile-de-France,92400,FR
f53947567ab611ecb172beab16355848,f53947567ab611ecb172beab16355848,ORNUA CO-OPERATIVE,STANDALONE,ACTIVE,STANDALONE,adnan.ahmed@ornua.com,hpe-activate-migration-tac@hpe.com,+353-16022488,eu-central,895a5997-b37b-4cc6-9d11-2cfda7fd01d7,,,2019-09-16T08:23:42,2026-03-30T23:52:22.652822,"Grattan House, Mount Street LowerDublin 2",Dublin,Dublin,D02H638,IE
6a9522e47ab811ecb6e24e266d7aec37,6a9522e47ab811ecb6e24e266d7aec37,AL GHURAIR GROUP,STANDALONE,ACTIVE,STANDALONE,aamir.hussain@al-ghurair.com,harshvardhan.jhaver@hpe.com,+971-504560826,eu-central,368a9663-6f4f-4a80-92ab-4a063715ff8d,,,2020-09-16T11:12:59,2026-03-31T04:13:33.486635,"Al Ghurair Investment
National Flour Mill",Dubai,Dubayy (Dubai),6999,AE
fb444ccc7ab611ecb9d48ea64e79e227,fb444ccc7ab611ecb9d48ea64e79e227,Etisalat Misr S.A.E,MSP,ACTIVE,MSP,sabdulkhalam@etisalat.ae,shefin.salam@caddemirates.co.ae,+971-502393910,eu-central,775f86d1-e08f-484a-91c4-949417077601,,False,2020-09-05T06:52:35,2026-03-31T04:06:43.595500,"al kifaf, dubai",duabi,Dubayy (Dubai),300,AE
6e13d6f6c0ed11eca8480a4dae534d5e,6e13d6f6c0ed11eca8480a4dae534d5e,HPE CEU,STANDALONE,ACTIVE,STANDALONE,jgonzalez@ceu.es,vicmbarres+ceu@gmail.com,913726474,eu-central,f4ed5ba4-b681-41b9-84cc-984cbf2cd1be,,False,2021-01-27T15:17:13,2026-03-31T05:40:12.939085,"C/ Tutor, 35",Madrid,Madrid,28008,ES
0358e1467ab911ecb9d48ea64e79e227,0358e1467ab911ecb9d48ea64e79e227,MARTIN-BAKER AIRCRAFT CO LTD,STANDALONE,ACTIVE,STANDALONE,soppong@martin-baker.co.uk,mbanetworks@martin-baker.co.uk,+44-1895837843,eu-central,1ec13602-34df-4aee-84fe-d61df1a4a970,,,2019-02-07T11:56:02,2026-03-30T21:20:14.938357,Higher DenhamMiddlesex,Uxbridge,Buckinghamshire,UB9 5AJ,GB
cc270aae7ab811ec958f52b1e61a20e5,cc270aae7ab811ec958f52b1e61a20e5,BAHCESEHIR KOLEJI SCHOOL,STANDALONE,ACTIVE,STANDALONE,network@bahcesehir.k12.tr,hpe-activate-migration-tac@hpe.com,+90-212 573 44 42,eu-central,d2a0957a-91e6-49ba-be18-be6491f217ff,,,2021-10-22T12:41:30,2026-03-31T09:22:03.235141,,istanbul,Istanbul,34560,TR
29c2f222f3d511ed90c4b205c9d53908,29c2f222f3d511ed90c4b205c9d53908,VASBV,STANDALONE,ACTIVE,STANDALONE,,aruba@vodarenska.cz,,US,08f284f0-de1f-4d8b-9c4c-3b38aee08fc6,,,2023-05-16T10:33:57.258199,2026-04-01T16:17:11.957304,Sobesicka 156,Brno,,63800,CZ
704cdadcfd9011ec8fbafe57240c98d0,704cdadcfd9011ec8fbafe57240c98d0,UPM Kymmene Aruba Central,STANDALONE,ACTIVE,STANDALONE,kari.lindroos@upm.com,kari.lindroos@upm.com,+358-405500238,eu-central,85d7a7ac-07ad-4562-b705-62c3a1e8d47d,,,2021-09-10T09:22:36,2026-03-31T08:45:54.258949,Alvar Aallonkatu 1,Helsinki,Etela-Suomen Laani,00101,FI
1a2828b4fd9011ec8fbafe57240c98d0,1a2828b4fd9011ec8fbafe57240c98d0,Région Île-de-France,STANDALONE,ACTIVE,STANDALONE,aruba@iledefrance.fr,aruba@iledefrance.fr,+33-01 53 85 53 85,eu-central,a3114bcd-b2c0-453d-9275-d84426307b2d,,,2021-06-01T17:39:03,2026-03-31T07:26:19.985372,,Saint Ouen sur Seine,Ile-de-France,93400,FR
04ecedee854b11ec8c33ca1d4ee14f34,04ecedee854b11ec8c33ca1d4ee14f34,MSC MSP,MSP,ACTIVE,MSP,,svc-centraltac@arubanetworks.com,+41-0791753565,US,9515fc3c-ba7a-460a-b68e-8d2584baa5d6,,,2022-02-03T23:42:59.332311,2026-04-01T08:41:09.868811,"12-14 Chemin Rieu
",Genève,Geneve,1206,CH
